银都路,36.228333,135.13985,5,0
云锦路,36.3287107,135.2155947,11,0
嘉定西,36.6016443,134.9589895,11,0
鞍山新村,36.4663709,135.2725383,8,0
虹桥路,36.3686476,135.173733,10-3-4,1
上大路,36.5215116,135.15978,7,0
沈杜公路,36.1920895,135.2755848,8,0
芦恒路,36.2669183,135.259525,8,0
龙华中路,36.3528716,135.2138862,12-7,1
上海游泳馆,36.3451732,135.1967957,11,0
醉白池,36.1144315,134.9605765,9,0
汶水路,36.4921552,135.2062955,1,0
上海汽车城,36.4827773,134.9064971,11,0
上海动物园,36.3590073,135.1139405,10,0
三林,36.2976936,135.2741966,11,0
陆家嘴,36.4206463,135.2644763,2,0
江浦路,36.4688262,135.2822646,8,0
中山公园,36.3960077,135.1705611,3-2-4,1
剑川路,36.1474998,135.168906,5,0
浦三路,36.3086438,135.305348,11,0
云台路,36.3482758,135.262743,7,0
李子园路,36.4608036,135.1394725,11,0
富锦路,36.6216882,135.1778752,1,0
华夏东路,36.3682261,135.4631511,2,0
行知路,36.4823157,135.1745682,7,0
赤峰路,36.4768884,135.2423971,3,0
五角场,36.4986236,135.278243,10,0
海伦路,36.4482057,135.2492083,10-4,1
松江南站,36.0937137,134.9626336,9,0
南陈路,36.5289896,135.1491476,7,0
春申路,36.2398145,135.1347961,5,0
浦电路,36.3978619,135.2941237,4-6,1
惠南东,36.1477484,135.5882932,16,0
中春路,36.3070989,135.0818192,9,0
静安寺,36.4023999,135.2020067,2-7,1
市光路,36.5306638,135.2975413,8,0
隆德路,36.4116603,135.1764429,11-13,1
龙阳路,36.3763338,135.3256907,2-7-16,1
祁连山南路,36.4200394,135.1145484,13,0
罗南新村,36.6161083,135.1034631,7,0
宋园路,36.3676109,135.1638536,10,0
南浦大桥,36.3826232,135.2617059,4,0
翔殷路,36.507983,135.29748,8,0
自然博物馆,36.4184172,135.2204542,13,0
书院,36.0601846,135.6523129,16,0
漕溪路,36.3420822,135.193136,3,0
杨高南路,36.3556455,135.2898881,7,0
七宝,36.3141378,135.0944057,9,0
凌兆新村,36.295115,135.2505104,8,0
新天地,36.3919738,135.2339825,10-13,1
莲花路,36.2822227,135.153723,1,0
世博大道,36.3488818,135.2445636,13,0
美兰湖,36.6335904,135.0948253,7,0
老西门,36.3960804,135.2429474,8-10,1
呼兰路,36.5533274,135.1925196,1,0
复兴岛,36.4771166,135.3301628,12,0
高青路,36.3191274,135.2794437,6,0
东昌路,36.4147409,135.2791411,2,0
曹杨路,36.4231495,135.1703451,11-3-4,1
大世界,36.4070296,135.2389398,8,0
宝杨路,36.6250686,135.2392083,3,0
芳华路,36.3635163,135.317525,7,0
殷高东路,36.529661,135.2693218,10,0
临沂新村,36.3627619,135.2803458,6,0
滴水湖,35.9935469,135.7399972,16,0
陕西南路,36.3945527,135.2175527,1-10-12,1
嘉定新城,36.5400374,134.988641,11,0
伊犁路,36.3701247,135.155211,10,0
浦东国际机场,36.3059111,135.603519,2,0
新江湾城,36.5383612,135.2693334,10,0
国际客运中心,36.4364503,135.2600584,12,0
惠南,36.1825198,135.5534956,16,0
上海赛车场,36.5428902,134.9570094,11,0
张江高科,36.3743271,135.3593621,2,0
威宁路,36.3906537,135.1362873,2,0
申江路,36.4753563,135.4035918,12,0
